iter	Passed	Remaining
638	809	457
639	810	455
640	811	454
641	813	453
642	814	452
643	815	450
644	816	449
645	817	448
646	818	446
647	819	445
648	820	443
649	821	442
650	822	440
651	823	439
652	824	438
653	825	436
654	826	435
655	827	433
656	827	432
657	828	430
658	829	429
659	830	428
660	831	426
661	832	425
662	833	423
663	834	422
664	835	420
665	836	419
666	837	417
667	838	416
668	839	415
669	840	413
670	841	412
671	842	411
672	843	409
673	845	408
674	846	407
675	847	406
676	848	404
677	849	403
678	850	401
679	851	400
680	852	399
681	853	397
682	854	396
683	855	395
684	856	393
685	857	392
686	858	390
687	858	389
688	859	388
689	860	386
690	861	385
691	863	384
692	863	382
693	864	381
694	865	379
695	866	378
696	867	377
697	869	376
698	870	374
699	871	373
700	872	372
701	873	370
702	874	369
703	875	368
704	877	367
705	878	365
706	879	364
707	880	363
708	881	361
709	883	360
710	884	359
711	885	358
712	886	356
713	887	355
714	888	354
715	889	352
716	890	351
717	891	350
718	892	348
719	893	347
720	894	346
721	895	344
722	896	343
723	897	342
724	898	340
725	899	339
726	900	338
727	901	336
728	902	335
729	903	334
730	904	332
731	905	331
732	906	330
733	907	328
734	908	327
735	909	326
736	911	325
737	912	323
738	913	322
739	914	321
740	914	319
741	915	318
742	916	317
743	917	315
744	918	314
745	919	313
746	920	311
747	921	310
748	922	309
749	923	307
750	924	306
751	925	305
752	925	303
753	927	302
754	927	301
755	928	299
756	929	298
757	930	297
758	932	295
759	933	294
760	934	293
761	934	292
762	935	290
763	936	289
764	937	288
765	938	286
766	939	285
767	940	284
768	941	282
769	943	281
770	944	280
771	945	279
772	946	277
773	947	276
774	948	275
775	949	274
776	950	272
777	951	271
778	952	270
779	953	268
780	954	267
781	955	266
782	956	265
783	957	263
784	958	262
785	959	261
786	960	259
787	961	258
788	962	257
789	963	256
790	964	254
791	965	253
792	966	252
793	967	251
794	968	249
795	969	248
796	970	247
797	971	246
798	972	244
799	973	243
800	974	242
801	975	240
802	976	239
803	977	238
804	978	237
805	979	235
806	980	234
807	981	233
808	982	231
809	982	230
810	983	229
811	984	227
812	985	226
813	986	225
814	987	224
815	988	222
816	989	221
817	990	220
818	991	219
819	992	217
820	993	216
821	994	215
822	995	214
823	996	212
824	997	211
825	998	210
826	999	209
827	1000	207
828	1001	206
829	1002	205
830	1003	204
831	1004	202
832	1005	201
833	1006	200
834	1007	199
835	1008	197
836	1009	196
837	1009	195
838	1011	194
839	1012	192
840	1013	191
841	1014	190
842	1014	189
843	1015	187
844	1016	186
845	1017	185
846	1018	184
847	1019	182
848	1020	181
849	1021	180
850	1022	179
851	1023	177
852	1024	176
853	1025	175
854	1027	174
855	1027	172
856	1028	171
857	1030	170
858	1031	169
859	1032	168
860	1032	166
861	1033	165
862	1034	164
863	1035	163
864	1037	161
865	1037	160
866	1038	159
867	1039	158
868	1040	156
869	1041	155
870	1042	154
871	1043	153
872	1044	151
873	1045	150
874	1046	149
875	1047	148
876	1048	146
877	1049	145
878	1050	144
879	1051	143
880	1052	142
881	1053	140
882	1054	139
883	1055	138
884	1055	137
885	1056	135
886	1058	134
887	1059	133
888	1059	132
889	1061	131
890	1062	129
891	1063	128
892	1064	127
893	1065	126
894	1066	125
895	1067	123
896	1068	122
897	1069	121
898	1070	120
899	1071	119
900	1072	117
901	1073	116
902	1074	115
903	1075	114
904	1076	112
905	1077	111
906	1078	110
907	1079	109
908	1080	108
909	1081	107
910	1083	105
911	1083	104
912	1085	103
913	1086	102
914	1087	100
915	1088	99
916	1089	98
917	1090	97
918	1090	96
919	1092	94
920	1093	93
921	1094	92
922	1095	91
923	1095	90
924	1096	88
925	1097	87
926	1098	86
927	1099	85
928	1100	84
929	1101	82
930	1102	81
931	1103	80
932	1104	79
933	1105	78
934	1106	76
935	1107	75
936	1108	74
937	1109	73
938	1110	72
939	1112	70
940	1113	69
941	1114	68
942	1115	67
943	1116	66
944	1117	65
945	1118	63
946	1119	62
947	1120	61
948	1122	60
949	1123	59
950	1124	57
951	1125	56
952	1126	55
953	1127	54
954	1128	53
955	1129	51
956	1130	50
957	1131	49
958	1132	48
959	1133	47
960	1134	46
961	1135	44
962	1136	43
963	1137	42
964	1139	41
965	1139	40
966	1140	38
967	1141	37
968	1143	36
969	1144	35
970	1145	34
971	1146	33
972	1146	31
973	1147	30
974	1148	29
975	1149	28
976	1150	27
977	1151	25
978	1152	24
979	1153	23
980	1154	22
981	1155	21
982	1156	20
983	1157	18
984	1158	17
985	1159	16
986	1160	15
987	1161	14
988	1162	12
989	1163	11
990	1164	10
991	1165	9
992	1166	8
993	1167	7
994	1168	5
995	1169	4
996	1170	3
997	1171	2
998	1173	1
999	1174	0
